date,users
2022-08-28 15:29:23.618,62
2022-08-28 15:29:50.787,63
2022-08-28 15:29:51.677,64
2022-08-28 15:30:07.433,65
2022-08-28 15:31:16.143,66
2022-08-28 15:31:40.484,67
2022-08-28 15:31:53.922,68
2022-08-28 15:32:32.755,69
2022-08-28 15:32:39.339,70
2022-08-28 15:32:42.262,71
2022-08-28 15:32:46.482,72
2022-08-28 15:32:51.091,73
2022-08-28 15:33:23.013,64
2022-08-28 15:33:27.812,65
2022-08-28 15:33:38.159,65
2022-08-28 15:34:00.022,65
2022-08-28 15:34:26.615,66
2022-08-28 15:34:57.608,67
2022-08-28 15:35:01.389,68
2022-08-28 15:36:54.840,69
2022-08-28 15:37:06.367,70
2022-08-28 15:37:24.869,71
2022-08-28 15:37:55.006,71
2022-08-28 15:38:01.962,61
2022-08-28 15:38:04.743,62
2022-08-28 15:38:24.616,63
2022-08-28 15:38:26.447,63
2022-08-28 15:38:26.540,64
2022-08-28 15:38:26.744,65
2022-08-28 15:39:18.159,66
2022-08-28 15:39:37.756,67
2022-08-28 15:40:32.626,68
2022-08-28 15:40:36.549,68
2022-08-28 15:40:47.098,69
2022-08-28 15:40:49.786,70
2022-08-28 15:40:50.224,71
2022-08-28 15:40:57.586,72
2022-08-28 15:41:29.111,73
2022-08-28 15:41:29.626,74
2022-08-28 15:41:42.498,75
2022-08-28 15:41:43.795,76
2022-08-28 15:41:59.189,77
2022-08-28 15:42:09.985,77
2022-08-28 15:42:33.081,78
2022-08-28 15:42:56.054,79
2022-08-28 15:43:00.853,58
2022-08-28 15:43:04.306,58
2022-08-28 15:43:11.185,59
2022-08-28 15:43:14.047,60
2022-08-28 15:43:20.676,61
2022-08-28 15:43:33.105,62
2022-08-28 15:44:15.923,63
2022-08-28 15:44:23.381,64
2022-08-28 15:44:25.291,64
2022-08-28 15:44:52.720,65
2022-08-28 15:45:03.611,66
2022-08-28 15:45:06.044,67
2022-08-28 15:45:27.066,68
2022-08-28 15:45:30.254,69
2022-08-28 15:45:35.379,70
2022-08-28 15:45:56.782,70
2022-08-28 15:46:25.706,71
2022-08-28 15:46:48.957,72
2022-08-28 15:46:56.364,72
2022-08-28 15:47:01.367,73
2022-08-28 15:47:13.971,74
2022-08-28 15:47:58.177,74
2022-08-28 15:48:21.221,64
2022-08-28 15:48:39.713,65
2022-08-28 15:49:32.031,66
2022-08-28 15:49:36.689,67
2022-08-28 15:50:25.555,68
2022-08-28 15:50:41.533,69
2022-08-28 15:52:53.313,70
2022-08-28 15:53:09.629,55
2022-08-28 15:53:09.972,56
2022-08-28 15:53:52.993,57
2022-08-28 15:54:18.863,58
2022-08-28 15:54:20.644,59
2022-08-28 15:54:21.722,60
2022-08-28 15:55:18.859,61
2022-08-28 15:55:45.952,62
2022-08-28 15:56:08.750,63
2022-08-28 15:56:11.363,64
2022-08-28 15:56:26.814,65
2022-08-28 15:56:36.349,66
2022-08-28 15:56:39.633,67
2022-08-28 15:56:53.552,67
2022-08-28 15:57:34.522,68
2022-08-28 15:58:00.573,69
2022-08-28 15:58:26.494,48
